,level_0,index,tconst,isAdult,startYear,runtimeMinutes,genres,title
29116,29931,1084077,tt16369814,0,2020,90,['Documentary'],The Delta of Bucharest
29117,29933,1084530,tt16373690,0,2013,52,['Documentary'],Ma maison en bois
29118,29934,1084552,tt16374008,0,2012,52,['Documentary'],La France de la récup.
29119,29935,1084577,tt16374232,0,2013,52,['Documentary'],Les dessous des produits frais
29120,29936,1084586,tt16374466,0,2021,92,['Documentary'],A demain mon amour
29121,29937,1084774,tt16375952,0,2022,96,"['Horror', 'Thriller']",Dangerous Game: The Legacy Murders
29122,29938,1084802,tt16376494,0,2022,109,"['Documentary', 'History']",Descendant: les héritiers d'Africatown
29123,29939,1084807,tt1637660,0,2012,88,['Drama'],Héritage
29124,29940,1084810,tt1637687,0,2010,100,['Drama'],I Want to be a Soldier
29125,29941,1084812,tt1637688,0,2011,109,"['Action', 'Sci-Fi', 'Thriller']",Time Out
29126,29942,1084820,tt1637706,0,2011,90,"['Comedy', 'Drama']",Our Idiot Brother
29127,29943,1084851,tt1637725,0,2012,106,['Comedy'],Ted
29128,29944,1084875,tt16377356,0,2022,101,['Documentary'],The Janes
29129,29945,1084877,tt16377414,0,2021,76,"['Drama', 'Romance']",Sans toi
29130,29946,1084940,tt16377816,0,2022,115,['Drama'],Mars 1
29131,29947,1084949,tt16377862,0,2022,97,['Documentary'],Tout ce que nous respirons
29132,29948,1084958,tt16377920,0,2022,87,['Documentary'],Éclats d'enfance
29133,29949,1085047,tt16378494,0,2021,52,['Documentary'],"Big bang, l'appel des origines"
29134,29950,1085137,tt16379224,0,2021,104,"['Crime', 'Documentary']",137 coups de feu
29135,29951,1085196,tt1638002,0,2014,102,"['Comedy', 'Romance']","Love, Rosie"
29136,29952,1085380,tt1638270,0,1986,100,['Fantasy'],Coïncidences
29137,29953,1085382,tt1638275,0,2010,81,['Family'],Le cheval de Klara
29138,29954,1085387,tt1638277,0,2012,90,"['Drama', 'Fantasy', 'Sci-Fi']",Mars et Avril
29139,29955,1085416,tt1638311,0,2008,\N,['Music'],Casse Noisette (the Nutcracker)
29140,29956,1085428,tt1638328,0,2011,98,"['Comedy', 'Romance']",L'amour dure trois ans
29141,29957,1085458,tt1638350,0,2011,114,['Comedy'],Le Skylab
29142,29958,1085465,tt1638353,0,2012,102,"['Drama', 'War']",Syngué Sabour - Pierre de patience
29143,29959,1085471,tt1638355,0,2015,116,"['Action', 'Adventure', 'Comedy']",Agents très spéciaux: Code U.N.C.L.E.
29144,29960,1085514,tt1638364,0,2013,124,"['Biography', 'Documentary', 'Sport']",Le Mensonge Armstrong
29145,29961,1086276,tt1638898,0,2012,84,"['Comedy', 'Romance']",L'amour à tout prix
29146,29962,1086411,tt1639077,0,2010,73,['Drama'],Petit Bébé Jésus de Flandr
29147,29963,1086421,tt1639080,0,2010,93,"['Crime', 'Drama', 'Thriller']",Prise au piège
29148,29964,1086434,tt1639084,0,2016,111,"['Comedy', 'Drama', 'Romance']",Tallulah
29149,29965,1087173,tt16394004,0,2021,91,['Documentary'],Les grands voyages de Richard Fleischer
29150,29966,1087540,tt1639826,0,2013,90,"['Adventure', 'Animation', 'Comedy']",Justin et la Légende des chevaliers
29151,29967,1087557,tt1639901,0,2010,92,['Drama'],Un homme qui crie
29152,29968,1087955,tt1640116,0,2011,81,"['Comedy', 'Drama', 'Family']",Christmas with a Capital C
29153,29969,1087981,tt1640144,0,2009,75,"['Fantasy', 'Horror', 'Mystery']",Le masque de la Méduse
29154,29970,1088011,tt1640198,0,2010,70,['Drama'],Perdu des Années
29155,29971,1088069,tt16402610,0,2020,82,"['Documentary', 'Music']",The Call of Dance
29156,29972,1088136,tt16402818,0,2022,104,['Comedy'],Ghost Therapy
29157,29973,1088486,tt1640459,0,2011,86,"['Action', 'Comedy', 'Horror']",Hobo with a Shotgun
29158,29974,1088509,tt1640484,0,2011,112,"['Comedy', 'Drama']",Jumping the Broom
29159,29975,1088573,tt1640548,0,2011,108,"['Crime', 'Drama']",Rampart
29160,29976,1088784,tt1640680,0,2010,105,"['Documentary', 'War']","Armadillo, dans le piège afghan"
29161,29977,1088815,tt1640711,0,2011,97,"['Comedy', 'Romance']",My Best Men
29162,29978,1088820,tt1640714,0,2010,98,"['Drama', 'Family']",Le Noël de Julia
29163,29979,1088822,tt1640718,0,2014,85,"['Animation', 'Drama']",Le Prophète
29164,29980,1089073,tt16409118,0,2021,\N,['Documentary'],Félix et moi
29165,29981,1089131,tt16409476,0,2021,132,['Drama'],Blinded
29166,29982,1089226,tt16409922,0,2021,52,['Documentary'],Canaries sauvages
29167,29983,1089314,tt16410620,0,2022,114,['Drama'],Mai sumoru rando
29168,29984,1089523,tt16411906,0,2021,65,['Documentary'],Tilo Koto
29169,29985,1089770,tt1641388,0,2011,99,['Thriller'],Below Zero
29170,29986,1089776,tt1641410,0,2011,88,['Drama'],Terraferma
29171,29987,1089939,tt1641624,0,2011,109,"['Comedy', 'Drama']",Ma part du gâteau
29172,29988,1089948,tt16416360,0,2021,85,"['Biography', 'Crime', 'Documentary']","Gabby Petito: Meurtres, Mensonges et Réseaux sociaux"
29173,29989,1089954,tt1641638,0,2010,100,"['Action', 'Biography', 'Drama']",Ip Man: la légende est née
29174,29990,1089993,tt16416588,0,2013,70,['Music'],Borderline
29175,29991,1090447,tt1641841,0,2014,96,"['Action', 'Crime', 'Thriller']",Skin Trade
29176,29992,1090584,tt16418966,0,2021,70,['Documentary'],La ville interdite
29177,29993,1090603,tt16419074,0,2023,111,"['Drama', 'Sport']",Air
29178,29994,1090720,tt1641975,0,2012,84,"['Drama', 'Horror', 'Thriller']",Citadel
29179,29995,1090773,tt16420002,0,2022,83,"['Adventure', 'Drama', 'Family']",The Curious Case of Dolphin Bay
29180,29996,1090785,tt16420168,0,2022,116,['Drama'],Tel Aviv Beyrouth
29181,29997,1090876,tt16420502,0,2022,82,['Horror'],Night of the Bastard
29182,29998,1090877,tt16420504,0,2021,47,['Drama'],L'homme qu'il vous faut
29183,29999,1091031,tt16421634,0,2017,99,"['Comedy', 'Romance']",À votre service
29184,30000,1091052,tt1642191,0,2011,100,['Comedy'],Chez Gino
29185,30001,1091054,tt1642194,0,2011,90,"['Drama', 'Horror', 'Mystery']",Derrière les murs
29186,30002,1091062,tt1642242,0,2010,56,['Documentary'],James Gray's Anatomy
29187,30003,1091066,tt1642255,0,2010,80,['Documentary'],"La Dany, la diva du parc Bolivar"
29188,30004,1091068,tt1642257,0,2009,48,"['Biography', 'Documentary', 'Drama']","La vie sombre trois fois, se relève sept et neuf fois flotte à la dérive..."
29189,30006,1091566,tt16425674,0,2021,\N,['Drama'],Trahis-moi si tu peux
29190,30007,1091567,tt16425676,0,2021,\N,['Drama'],Aime-moi si tu peux
29191,30008,1091572,tt16425706,0,2020,50,['Music'],Ohho - Bye bye myself
29192,30009,1091650,tt1642629,0,2009,60,['Documentary'],La machine du jugement dernier
29193,30010,1091694,tt1642665,0,2011,94,"['Horror', 'Thriller']",Urban Explorer - Le sous-sol de l'horreur
29194,30011,1091832,tt16427718,0,2022,118,"['Comedy', 'Drama']",L'Effet grêlon
29195,30012,1091983,tt16428256,0,2022,122,"['Action', 'Adventure', 'Animation']",Suzume
29196,30013,1092132,tt16429240,0,2001,156,['Documentary'],Les Khmers Rouges: Pouvoir et Terreur
29197,30014,1092248,tt16429986,0,2021,88,['Horror'],Emesis
29198,30015,1092264,tt16430406,0,2013,52,['Documentary'],Les dessous de la récup
29199,30016,1092356,tt16431966,0,2023,91,"['Comedy', 'Drama', 'Romance']",Sometimes I Think About Dying
29200,30017,1092380,tt1643222,0,2011,89,"['Horror', 'Sci-Fi', 'Thriller']",Hell
29201,30018,1092561,tt16433236,0,2022,88,"['Documentary', 'Music']",The Sound of 007
29202,30019,1092841,tt16435388,0,2013,90,['Music'],Tabac Rouge
29203,30020,1093066,tt16436796,0,2018,60,['Music'],Scala
29204,30021,1093119,tt16437144,1,2020,\N,['Adult'],Sex Therapy
29205,30022,1093121,tt16437158,1,2021,\N,['Adult'],Un été entre filles
29206,30023,1093141,tt16437278,0,2023,100,"['Drama', 'Thriller']",Dans leur ombre
29207,30024,1093557,tt16439840,0,2022,73,['Documentary'],Regardez l'autre
