,tconst,startYear,runtimeMinutes,genres,title
16688,tt0344510,2004,133,"Drama,Mystery,Romance",Un long dimanche de fiançailles
16689,tt0344604,2003,110,"Comedy,Romance",Fleur de peau
16691,tt0344854,2006,94,"Adventure,Animation,Comedy",Arthur et les Minimoys
16692,tt0345021,2002,88,Drama,Cavalcades
16693,tt0345032,2004,111,Drama,Les clefs de la maison
16694,tt0345045,2002,78,Documentary,Ciao bella ciao
16695,tt0345061,2003,93,"Drama,Romance,Sci-Fi",Code 46
16696,tt0345074,2004,108,"Comedy,Crime,Music",Connie et Carla
16697,tt0345113,2003,91,Documentary,"Davos, Porto Alegre et autres batailles"
16698,tt0345128,2002,63,Documentary,Deux ans après
16700,tt0345228,2006,97,Drama,Open Window
16701,tt0345234,2001,90,"Comedy,Drama",Fils de zup
16702,tt0345235,2004,93,"Action,Adventure,Drama",Les fils du vent
16703,tt0345428,2002,93,Documentary,Sans ma fille
16704,tt0345549,2003,112,"Comedy,Drama,Romance",Last life in the universe
16705,tt0345551,2003,107,"Comedy,Drama,Romance",La tentation d'Aaron
16706,tt0345561,2002,105,"Comedy,Crime","La leggenda di Al, John e Jack"
16707,tt0345636,2003,93,"Action,Adventure,Sci-Fi",Méga Cyclone
16708,tt0345654,2002,97,"Comedy,Drama,Horror",Mes parents
16709,tt0345768,1997,78,Documentary,Les paradoxes de Buñuel
16710,tt0345777,2004,97,"Drama,Sci-Fi,Thriller",Patient 14
16711,tt0345940,2002,70,Fantasy,So Long Mister Monore
16712,tt0345950,2004,87,"Adventure,Animation,Comedy","Bob l'éponge, le film"
16713,tt0345973,1980,120,"Documentary,History",L'année 1952
16714,tt0346094,2002,110,Drama,Lointain
16716,tt0346148,2003,91,"Comedy,Drama",With or Without You
16717,tt0346156,2004,106,"Action,Adventure,Mystery",Capitaine Sky et le monde de demain
16719,tt0346336,2003,366,"Drama,Romance",Nos meilleures années
16720,tt0346491,2004,175,"Action,Biography,Drama",Alexandre
16721,tt0346518,1983,92,Adult,Plaisir anal pour adolescentes trop serrées
16722,tt0346563,2003,86,Documentary,Baghdad on/Off
16723,tt0346631,2009,93,"Action,Crime,Drama",Blood and Bone
16725,tt0346704,1985,80,Documentary,"Carné, l'homme à la caméra"
16726,tt0346750,2004,96,Drama,Le Vrai Miracle de Noël
16727,tt0346800,2003,60,"Drama,Romance",Et les lâches s'agenouillent...
16728,tt0346811,2004,92,"Adventure,Horror,Sci-Fi",L'Île des komodos : Prédateurs mutants
16730,tt0346904,2001,100,"Action,Fantasy,Romance",Dream of a Warrior
16731,tt0347016,2004,101,Drama,In your hands
16732,tt0347037,2003,124,Drama,Galindez
16733,tt0347048,2004,121,"Drama,Romance",Head-On
16734,tt0347105,2003,105,"Comedy,Drama",Au feu!
16735,tt0347131,2003,90,"Comedy,Drama",Les gants magiques
16736,tt0347149,2004,119,"Adventure,Animation,Family",Le château ambulant
16737,tt0347246,2004,100,"Animation,Drama,Mystery",Ghost in the Shell 2: Innocence
16738,tt0347304,2003,186,"Comedy,Drama,Musical",New York masala
16739,tt0347330,2004,95,"Action,Crime,Drama",Le convoyeur
16741,tt0347332,2004,174,"Action,Crime,Drama",Khakee - the police uniform
16742,tt0347439,2003,85,Action,Lost Treasure: Le trésor perdu
16744,tt0347458,2003,85,Animation,La Légende de Parva
16745,tt0347474,2003,130,"Comedy,Drama",Les mains vides
16746,tt0347618,2002,75,"Adventure,Animation,Comedy",Le royaume des chats
16747,tt0347678,2003,86,"Comedy,Drama",Baby Blues
16749,tt0347718,2004,90,Documentary,D'autres mondes
16750,tt0347749,1983,100,Action,Vaincre ou mourir
16751,tt0347791,2002,80,"Action,Adventure,Animation",Les héros Pokémon
16752,tt0347826,1985,75,Adult,Chaleurs anales pour trois petites filles de luxe
16753,tt0347996,2000,90,"Action,Adventure,Family",La légende de la pierre sacrée
16754,tt0348121,2004,126,"Action,Adventure,Animation",Steamboy
16755,tt0348150,2006,154,"Action,Adventure,Sci-Fi",Superman Returns
16756,tt0348333,2005,94,Comedy,Service non compris
16757,tt0348529,2004,77,Drama,Anatomie de l'enfer
16758,tt0348572,2003,100,Comedy,Le Coût de la vie
16759,tt0348593,2004,111,"Comedy,Drama",Lignes de vie
16761,tt0348596,2003,100,Documentary,Décryptage
16762,tt0348732,2003,105,Documentary,Retour à Kotelnitch
16763,tt0348777,1980,56,Documentary,Une heure sans savoir
16765,tt0348836,2003,98,"Horror,Mystery,Thriller",Gothika
16766,tt0348841,2003,102,"Comedy,Romance",Je reste!
16767,tt0348843,2003,136,"Drama,Romance,Thriller",Fatale attraction
16768,tt0348847,2004,94,Drama,Massaï - Les guerriers de la pluie
16769,tt0348853,2003,106,Drama,Nathalie...
16770,tt0348867,2004,102,Drama,Le rôle de sa vie
16771,tt0348874,2003,85,"Biography,Drama",Le soleil assassiné
16772,tt0348875,2004,135,Drama,Illumination
16774,tt0348878,2004,70,"Animation,Family",T'choupi
16777,tt0348884,2004,113,Drama,Viva Laldjérie
16778,tt0349047,2004,87,"Comedy,Sci-Fi",Space Movie: La menace fantoche
16779,tt0349048,2003,83,Drama,011 Beograd
16780,tt0349079,2003,123,"Comedy,Drama",Alila
16781,tt0349116,2003,97,Drama,Baboussia
16783,tt0349169,2004,85,"Comedy,Romance",Rupture mode d'emploi
16784,tt0349193,2002,93,Drama,Irresiiistible!
16785,tt0349205,2003,98,"Comedy,Family",Treize à la douzaine
16786,tt0349225,2003,100,"Comedy,Drama,Romance",Le coeur des hommes
16787,tt0349260,2004,105,"Drama,Romance",In My Country
