,tconst,startYear,runtimeMinutes,genres,title
181,tt0080636,1980,90,"['Action', 'Comedy', 'Horror']",Histoire de cannibales
182,tt0080641,1980,119,"['Action', 'Adventure', 'Drama']",Les chiens de guerre
183,tt0080645,1980,94,"['Horror', 'Thriller']",Brigade anti-viol
184,tt0080653,1980,152,"['Action', 'Crime', 'Drama']",Dostana
185,tt0080654,1980,88,['Comedy'],L'infirmière a le bistouri facile
186,tt0080657,1982,98,['Drama'],Douce enquête sur la violence
187,tt0080660,1980,81,"['Comedy', 'Drama']",Trois Suédoises dans l'île aux mille plaisirs
188,tt0080661,1980,104,"['Crime', 'Drama', 'Mystery']",Pulsions
189,tt0080671,1980,97,"['Adventure', 'Drama']",Australia Kid
190,tt0080678,1980,124,"['Biography', 'Drama']",Elephant Man
191,tt0080684,1980,124,"['Action', 'Adventure', 'Fantasy']",Star Wars: Épisode V - L'Empire contre-attaque
192,tt0080700,1980,110,['Drama'],Eugenio
193,tt0080701,1980,75,"['Action', 'Adventure', 'Comedy']",Eva Man
194,tt0080707,1980,104,"['Action', 'Crime', 'Drama']",Exterminator: Le droit de tuer
195,tt0080710,1980,93,"['Action', 'Adventure', 'Drama']",Otages en péril
196,tt0080711,1980,102,"['Comedy', 'Crime', 'Horror']",Fondu au noir
197,tt0080716,1980,134,"['Drama', 'Music', 'Musical']",Fame
198,tt0080717,1981,121,"['Action', 'Comedy']",Lady kung fu
199,tt0080718,1980,110,"['Drama', 'Musical']",Fantastica
200,tt0080719,1980,97,['Comedy'],Plus il est con plus il s'en donne l'air
201,tt0080724,1980,93,"['Comedy', 'Drama', 'Romance']",Fatso
202,tt0080728,1981,106,"['Drama', 'Romance']",La femme de l'aviateur
203,tt0080730,1980,93,['Horror'],Fiend
204,tt0080731,1980,100,"['Comedy', 'Crime', 'Fantasy']",Le Complot diabolique du Dr. Fu Manchu
205,tt0080736,1980,103,"['Action', 'Adventure', 'Sci-Fi']","Nimitz, retour vers l'enfer"
206,tt0080738,1980,112,"['Crime', 'Thriller']",De plein fouet
207,tt0080743,1980,113,"['Action', 'Drama']",L'homme à la lance contre Shaolin
